index,cultivable,predicted_class,conf
11038,1,cultivable,0.929
11184,1,cultivable,0.533
12889,1,cultivable,0.999
10400,1,cultivable,0.967
11648,1,cultivable,0.696
4433,1,cultivable,0.995
8402,0,non-cultivable,0.992
6029,1,cultivable,0.956
9007,1,cultivable,0.962
1401,1,cultivable,0.983
4197,1,cultivable,0.935
8478,1,cultivable,1.000
2272,1,cultivable,0.984
10342,0,non-cultivable,0.998
6612,1,cultivable,0.998
7399,0,non-cultivable,0.991
3644,1,cultivable,0.942
11449,0,non-cultivable,0.708
295,0,non-cultivable,0.985
4765,0,non-cultivable,0.963
9126,1,cultivable,0.992
5270,1,cultivable,0.987
3536,1,cultivable,0.983
10544,1,cultivable,0.950
9894,1,cultivable,0.951
11365,0,non-cultivable,0.998
9644,0,non-cultivable,0.866
4073,1,cultivable,0.913
10580,1,cultivable,0.612
5303,0,non-cultivable,0.998
8122,1,cultivable,0.781
6601,0,non-cultivable,0.608
4641,1,cultivable,0.943
7113,1,cultivable,0.993
3876,0,non-cultivable,0.717
12665,1,cultivable,0.951
8961,0,non-cultivable,0.997
5393,1,cultivable,1.000
3255,0,non-cultivable,0.998
2676,1,cultivable,0.950
10002,1,cultivable,0.996
9152,1,cultivable,0.570
4484,0,non-cultivable,0.984
5588,0,non-cultivable,0.990
7525,0,non-cultivable,1.000
2979,0,non-cultivable,0.990
10276,1,cultivable,0.834
3102,0,non-cultivable,1.000
11534,1,cultivable,0.964
10716,1,cultivable,0.948
671,1,cultivable,0.704
10327,1,cultivable,0.985
12900,1,cultivable,0.982
10006,0,non-cultivable,0.681
6294,1,cultivable,0.996
1949,1,cultivable,0.940
4717,0,non-cultivable,0.536
10489,0,non-cultivable,0.987
2762,1,cultivable,0.950
8781,1,cultivable,0.997
6163,1,cultivable,0.958
1545,1,cultivable,0.830
8794,1,cultivable,0.994
12044,1,cultivable,0.950
6592,0,non-cultivable,0.501
412,0,non-cultivable,0.560
10899,0,non-cultivable,0.710
336,0,non-cultivable,0.545
11921,1,cultivable,0.950
9653,0,non-cultivable,0.866
5840,1,cultivable,1.000
6844,1,cultivable,0.954
2036,0,non-cultivable,0.896
11114,0,non-cultivable,0.999
11000,0,non-cultivable,0.861
9213,0,non-cultivable,0.990
359,0,non-cultivable,0.989
7111,1,cultivable,0.949
8019,1,cultivable,0.773
8141,1,cultivable,0.965
8815,1,cultivable,0.631
10100,0,non-cultivable,0.999
12203,1,cultivable,0.996
5727,1,cultivable,0.958
12864,1,cultivable,0.998
11637,1,cultivable,0.910
9627,0,non-cultivable,0.892
5415,1,cultivable,0.999
8572,0,non-cultivable,0.994
1006,1,cultivable,0.999
11936,1,cultivable,0.995
5862,1,cultivable,1.000
8514,1,cultivable,0.991
1570,0,non-cultivable,0.983
3191,1,cultivable,0.999
6335,1,cultivable,0.941
2292,0,non-cultivable,0.927
599,1,cultivable,0.779
12290,1,cultivable,0.950
12760,1,cultivable,0.999
6489,0,non-cultivable,0.661
901,1,cultivable,0.884
2297,1,cultivable,0.672
1803,0,non-cultivable,0.902
7438,1,cultivable,0.762
5627,0,non-cultivable,0.775
6816,0,non-cultivable,0.797
5499,1,cultivable,0.950
941,1,cultivable,0.950
2516,1,cultivable,0.599
1131,1,cultivable,0.796
7473,1,cultivable,0.988
10914,0,non-cultivable,0.983
8322,1,cultivable,0.992
6996,1,cultivable,0.901
2849,0,non-cultivable,0.996
8943,1,cultivable,0.999
4544,1,cultivable,0.664
11546,1,cultivable,0.991
2412,1,cultivable,0.530
1164,1,cultivable,0.987
6874,0,non-cultivable,0.990
12471,1,cultivable,0.952
6767,1,cultivable,0.545
7817,1,cultivable,0.961
5311,0,non-cultivable,0.999
12697,1,cultivable,0.950
3823,1,cultivable,0.992
9637,0,non-cultivable,0.981
6806,1,cultivable,0.920
3796,1,cultivable,1.000
4053,1,cultivable,1.000
1960,0,non-cultivable,0.987
8922,1,cultivable,0.848
6026,1,cultivable,0.941
4153,1,cultivable,0.632
4312,1,cultivable,0.705
8906,0,non-cultivable,1.000
8219,1,cultivable,0.930
5459,0,non-cultivable,0.996
2141,1,cultivable,0.945
7105,1,cultivable,0.790
1060,1,cultivable,0.778
6607,0,non-cultivable,0.520
2231,1,cultivable,0.824
985,1,cultivable,0.679
6015,1,cultivable,0.998
727,1,cultivable,0.866
6811,1,cultivable,0.993
6484,0,non-cultivable,0.842
1109,0,non-cultivable,0.912
6473,1,cultivable,0.970
4914,0,non-cultivable,0.996
7859,0,non-cultivable,1.000
7907,0,non-cultivable,0.996
5974,1,cultivable,0.571
61,0,non-cultivable,0.638
5345,1,cultivable,0.950
1681,0,non-cultivable,0.966
703,0,non-cultivable,0.947
361,1,cultivable,0.859
1388,0,non-cultivable,0.920
9964,1,cultivable,0.556
172,0,non-cultivable,0.859
9710,1,cultivable,1.000
3618,0,non-cultivable,0.996
5877,1,cultivable,0.959
7625,1,cultivable,0.500
8311,1,cultivable,0.998
6560,1,cultivable,0.905
7670,1,cultivable,0.989
9932,0,non-cultivable,1.000
8878,1,cultivable,0.917
3801,1,cultivable,0.802
3208,1,cultivable,0.961
2182,0,non-cultivable,1.000
6563,1,cultivable,0.774
11885,1,cultivable,0.996
398,1,cultivable,0.825
168,0,non-cultivable,0.985
2815,0,non-cultivable,0.576
4014,1,cultivable,0.950
12407,1,cultivable,0.959
4769,0,non-cultivable,1.000
8165,1,cultivable,0.986
4660,1,cultivable,0.950
12317,1,cultivable,0.952
12875,1,cultivable,0.972
1852,0,non-cultivable,0.995
9903,1,cultivable,0.949
5174,0,non-cultivable,1.000
2582,1,cultivable,0.530
438,1,cultivable,0.990
106,0,non-cultivable,0.652
8984,1,cultivable,0.604
12459,1,cultivable,0.975
8058,1,cultivable,0.527
10182,1,cultivable,0.958
9862,1,cultivable,0.998
2348,1,cultivable,0.944
8098,0,non-cultivable,0.736
9243,1,cultivable,0.979
12481,1,cultivable,0.952
6470,1,cultivable,0.984
6400,1,cultivable,0.532
7201,0,non-cultivable,0.682
12504,1,cultivable,0.977
9759,0,non-cultivable,0.927
3513,0,non-cultivable,0.835
9951,0,non-cultivable,1.000
7841,0,non-cultivable,0.591
6271,1,cultivable,0.745
2879,0,non-cultivable,0.582
4154,1,cultivable,0.748
5826,1,cultivable,0.826
3056,0,non-cultivable,0.782
4735,1,cultivable,0.902
4723,1,cultivable,0.998
12793,1,cultivable,0.950
9035,1,cultivable,0.778
8320,1,cultivable,0.992
1687,0,non-cultivable,0.512
8631,1,cultivable,0.999
3514,0,non-cultivable,0.764
78,1,cultivable,0.751
1276,0,non-cultivable,0.906
11753,1,cultivable,0.999
1467,0,non-cultivable,0.996
2797,1,cultivable,0.999
7556,0,non-cultivable,0.999
4228,0,non-cultivable,1.000
5560,0,non-cultivable,0.998
188,0,non-cultivable,0.857
2248,0,non-cultivable,0.683
9226,0,non-cultivable,0.674
1606,0,non-cultivable,0.943
3491,0,non-cultivable,0.634
2196,1,cultivable,0.967
7396,0,non-cultivable,0.963
11141,1,cultivable,0.984
468,1,cultivable,0.876
7676,1,cultivable,0.979
4840,1,cultivable,1.000
11687,1,cultivable,0.990
9752,1,cultivable,0.885
499,0,non-cultivable,0.971
3724,0,non-cultivable,1.000
12002,1,cultivable,0.987
10390,1,cultivable,0.514
1270,0,non-cultivable,0.940
6966,1,cultivable,0.996
7835,1,cultivable,0.939
6895,1,cultivable,0.636
7786,0,non-cultivable,0.945
3036,1,cultivable,0.963
8577,0,non-cultivable,1.000
1557,0,non-cultivable,0.630
3730,0,non-cultivable,0.912
12858,1,cultivable,0.950
7832,1,cultivable,0.990
8589,0,non-cultivable,0.796
5067,1,cultivable,0.950
5135,1,cultivable,0.935
10958,1,cultivable,0.831
2858,0,non-cultivable,0.996
9270,0,non-cultivable,0.596
11629,1,cultivable,0.951
2854,1,cultivable,0.870
1935,0,non-cultivable,0.989
8250,0,non-cultivable,1.000
10136,1,cultivable,0.501
4231,0,non-cultivable,1.000
5168,0,non-cultivable,0.997
4095,0,non-cultivable,1.000
5991,1,cultivable,1.000
1601,1,cultivable,0.936
1909,1,cultivable,0.709
4292,1,cultivable,1.000
3492,0,non-cultivable,0.998
2644,1,cultivable,0.721
7945,0,non-cultivable,0.817
8840,0,non-cultivable,0.998
6461,1,cultivable,0.974
8236,0,non-cultivable,0.953
8204,0,non-cultivable,0.985
229,0,non-cultivable,0.973
1600,1,cultivable,0.892
6366,0,non-cultivable,0.997
1969,0,non-cultivable,0.962
11639,1,cultivable,0.749
3979,1,cultivable,0.815
10273,1,cultivable,0.500
7469,1,cultivable,0.997
6167,1,cultivable,0.999
7494,1,cultivable,0.992
0,1,cultivable,0.506
6857,0,non-cultivable,0.944
1620,0,non-cultivable,0.825
10673,1,cultivable,0.953
556,0,non-cultivable,0.982
56,1,cultivable,0.992
3032,1,cultivable,0.950
5998,1,cultivable,0.505
1106,0,non-cultivable,0.936
6168,1,cultivable,0.999
7048,0,non-cultivable,0.988
6567,1,cultivable,0.790
8893,0,non-cultivable,1.000
8705,1,cultivable,0.985
2135,1,cultivable,0.782
10615,0,non-cultivable,0.894
6060,0,non-cultivable,0.948
40,1,cultivable,0.926
5396,1,cultivable,1.000
10978,1,cultivable,0.950
10799,1,cultivable,0.973
1653,1,cultivable,0.906
3716,0,non-cultivable,0.867
10343,0,non-cultivable,0.955
6265,0,non-cultivable,0.665
4337,1,cultivable,0.540
7050,0,non-cultivable,0.993
6410,0,non-cultivable,0.511
1034,1,cultivable,0.590
2721,0,non-cultivable,0.577
3577,1,cultivable,0.505
10064,1,cultivable,0.820
10239,0,non-cultivable,0.999
2759,1,cultivable,0.968
12430,1,cultivable,0.950
12018,1,cultivable,0.992
7153,1,cultivable,0.941
10581,0,non-cultivable,0.583
4672,1,cultivable,0.990
10181,1,cultivable,0.951
11974,1,cultivable,0.994
559,1,cultivable,0.905
4990,1,cultivable,0.799
9222,0,non-cultivable,0.988
443,1,cultivable,0.631
12378,1,cultivable,0.951
1191,0,non-cultivable,0.963
11093,0,non-cultivable,0.804
8954,1,cultivable,0.999
7581,0,non-cultivable,0.999
2535,1,cultivable,0.956
10289,1,cultivable,0.954
1842,0,non-cultivable,0.999
2833,0,non-cultivable,1.000
10044,1,cultivable,0.988
6513,0,non-cultivable,0.994
7680,1,cultivable,0.905
6332,1,cultivable,0.990
2679,0,non-cultivable,0.734
11820,1,cultivable,0.995
4565,1,cultivable,0.999
8717,0,non-cultivable,0.943
1689,0,non-cultivable,0.860
8139,1,cultivable,0.848
4359,0,non-cultivable,0.998
8647,0,non-cultivable,1.000
6087,1,cultivable,0.952
942,1,cultivable,0.657
5542,1,cultivable,1.000
5672,1,cultivable,0.997
12515,1,cultivable,0.970
12060,1,cultivable,0.950
7033,0,non-cultivable,0.986
5069,1,cultivable,0.950
4432,1,cultivable,1.000
9805,0,non-cultivable,0.999
11074,1,cultivable,0.950
10705,0,non-cultivable,0.995
11944,1,cultivable,0.957
